epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,63.6359,1.39087,2.39003,0.3051,0.94661,1.1849,0.93702,0.44762,0.51514,0.31452,0.82299,0.33889,0.3002,0.17218,1.39518,3.3038,0.18161,0.93761,1.1358,0.00158778,0.00158778,0.00158778
50,64.7378,1.34154,2.61123,0.31537,1.03352,1.14715,0.94266,0.45714,0.50912,0.30623,0.83178,0.34286,0.29951,0.17379,1.40523,3.23839,0.17557,0.94874,1.14928,0.00158613,0.00158613,0.00158613
51,65.8785,1.31591,2.51631,0.31157,0.96277,1.121,0.94411,0.45409,0.50883,0.30738,0.84175,0.35238,0.31206,0.18708,1.37693,3.16304,0.17179,0.94329,1.14345,0.00158448,0.00158448,0.00158448
52,66.9804,1.36578,2.49072,0.3264,1.01673,1.13681,0.4193,0.52262,0.51212,0.30517,0.37924,0.37143,0.35678,0.20155,1.36738,2.92802,0.17738,0.94899,1.13549,0.00158283,0.00158283,0.00158283
53,68.0836,1.35489,2.67179,0.28247,0.97981,1.12111,0.4193,0.52262,0.51212,0.30517,0.37924,0.37143,0.35678,0.20155,1.36738,2.92802,0.17738,0.94899,1.13549,0.00158118,0.00158118,0.00158118
54,69.2156,1.31504,2.4937,0.317,0.93755,1.1114,0.41213,0.52262,0.51877,0.30347,0.30045,0.4881,0.36727,0.20831,1.38396,2.87874,0.16718,0.93913,1.14341,0.00157953,0.00157953,0.00157953
55,70.3403,1.37242,2.35097,0.32739,0.96219,1.12831,0.39649,0.65238,0.52789,0.31777,0.30107,0.47381,0.34915,0.19957,1.39357,3.18156,0.15418,0.91927,1.13751,0.00157788,0.00157788,0.00157788
56,71.5129,1.37276,2.33154,0.28497,0.9343,1.10827,0.41048,0.65714,0.53198,0.32137,0.30775,0.46429,0.35188,0.21078,1.40227,3.13509,0.15341,0.89648,1.12943,0.00157623,0.00157623,0.00157623
57,72.6683,1.31829,2.28982,0.30574,0.93678,1.10636,0.41048,0.65714,0.53198,0.32137,0.30775,0.46429,0.35188,0.21078,1.40227,3.13509,0.15341,0.89648,1.12943,0.00157458,0.00157458,0.00157458
58,73.823,1.40459,2.35596,0.30689,0.90233,1.15462,0.43238,0.68643,0.53577,0.32563,0.37707,0.39437,0.37925,0.23351,1.43021,2.79607,0.1576,0.88906,1.13731,0.00157293,0.00157293,0.00157293
59,74.9636,1.32243,2.26339,0.31937,0.96866,1.15471,0.421,0.65714,0.53174,0.32276,0.31076,0.42262,0.35886,0.2121,1.40087,2.94905,0.16547,0.8845,1.10558,0.00157128,0.00157128,0.00157128
60,76.0933,1.392,2.48952,0.31797,0.87743,1.17758,0.42714,0.65714,0.52828,0.32487,0.34433,0.47381,0.36043,0.21333,1.36495,2.88587,0.15827,0.89082,1.08242,0.00156963,0.00156963,0.00156963
61,77.1946,1.3798,2.2202,0.29774,0.87543,1.10636,0.42714,0.65714,0.52828,0.32487,0.34433,0.47381,0.36043,0.21333,1.36495,2.88587,0.15827,0.89082,1.08242,0.00156798,0.00156798,0.00156798
62,78.3214,1.38467,2.12735,0.28317,0.89092,1.1277,0.42444,0.61548,0.52432,0.32331,0.86968,0.40952,0.37615,0.22873,1.33483,2.80503,0.14881,0.88264,1.07932,0.00156633,0.00156633,0.00156633
63,79.4598,1.38897,2.31616,0.276,0.88052,1.11681,0.41228,0.56429,0.5,0.31307,0.8546,0.35714,0.32483,0.20734,1.36965,3.04047,0.14363,0.88816,1.11915,0.00156468,0.00156468,0.00156468
64,80.583,1.36607,2.58092,0.33573,0.9465,1.16604,0.43345,0.56905,0.50614,0.31556,0.36291,0.47381,0.35554,0.21467,1.38189,2.91436,0.14693,0.90639,1.12963,0.00156303,0.00156303,0.00156303
65,81.6782,1.4432,2.51432,0.32144,0.91301,1.19586,0.43345,0.56905,0.50614,0.31556,0.36291,0.47381,0.35554,0.21467,1.38189,2.91436,0.14693,0.90639,1.12963,0.00156138,0.00156138,0.00156138
66,82.7997,1.33831,2.19872,0.28106,0.89491,1.11532,0.4148,0.5369,0.52065,0.32884,0.86562,0.40167,0.35386,0.21941,1.37682,2.82742,0.14947,0.90666,1.11358,0.00155973,0.00155973,0.00155973
67,83.9345,1.32,2.05615,0.31031,0.88683,1.10962,0.40711,0.5369,0.51515,0.31264,0.86583,0.40251,0.35279,0.22048,1.39665,2.76261,0.14902,0.92282,1.10551,0.00155808,0.00155808,0.00155808
68,85.0698,1.29897,2.096,0.27755,0.92739,1.09167,0.44881,0.57381,0.5118,0.31875,0.40459,0.49286,0.37012,0.22832,1.38676,2.74738,0.147,0.90341,1.11576,0.00155643,0.00155643,0.00155643
69,86.1589,1.36121,2.23173,0.28976,0.9012,1.13792,0.44881,0.57381,0.5118,0.31875,0.40459,0.49286,0.37012,0.22832,1.38676,2.74738,0.147,0.90341,1.11576,0.00155478,0.00155478,0.00155478
70,87.2703,1.33758,2.23293,0.24679,0.85979,1.08273,0.93588,0.47619,0.50732,0.31293,0.38838,0.4881,0.36478,0.2303,1.38704,2.72346,0.14271,0.90076,1.13701,0.00155313,0.00155313,0.00155313
71,88.4071,1.32376,2.07495,0.28165,0.90458,1.12398,0.93518,0.47954,0.50627,0.31266,0.85665,0.39099,0.36241,0.24786,1.39279,2.85029,0.14019,0.90621,1.14514,0.00155148,0.00155148,0.00155148
72,89.5357,1.29221,2.04195,0.31244,0.88591,1.12833,0.43268,0.48969,0.52204,0.31444,0.84148,0.38571,0.34552,0.23631,1.35691,2.92959,0.13832,0.89876,1.11547,0.00154983,0.00154983,0.00154983
73,90.7886,1.29501,1.97677,0.28053,0.87165,1.11395,0.43268,0.48969,0.52204,0.31444,0.84148,0.38571,0.34552,0.23631,1.35691,2.92959,0.13832,0.89876,1.11547,0.00154818,0.00154818,0.00154818
74,92.0463,1.39764,2.17112,0.30519,0.92504,1.13338,0.93952,0.4845,0.51706,0.31546,0.84801,0.38162,0.35007,0.23994,1.36481,2.86816,0.13936,0.90406,1.0982,0.00154653,0.00154653,0.00154653
